timestamp,object_x,object_y,contour_area
2025-01-13-14-05-53.223192,372,212,135971.5
2025-01-13-14-05-53.247583,372,212,133686.0
2025-01-13-14-05-53.266024,370,211,127703.0
2025-01-13-14-05-53.313235,370,210,127038.0
2025-01-13-14-05-53.335116,374,207,123409.5
2025-01-13-14-05-53.380347,374,207,123197.5
2025-01-13-14-05-53.408399,371,209,123149.0
2025-01-13-14-05-53.450268,375,206,121026.5
2025-01-13-14-05-53.484808,374,207,119224.0
2025-01-13-14-05-53.518411,375,207,119043.0
2025-01-13-14-05-53.551212,375,206,118011.5
2025-01-13-14-05-53.584635,375,206,117718.5
2025-01-13-14-05-53.620950,375,206,116411.0
2025-01-13-14-05-53.651030,375,206,116190.5
2025-01-13-14-05-53.684746,376,205,114984.5
2025-01-13-14-05-53.718217,375,206,115449.0
2025-01-13-14-05-53.751811,376,205,114346.5
2025-01-13-14-05-53.785055,376,205,114390.5
2025-01-13-14-05-53.817079,377,205,113647.5
2025-01-13-14-05-53.851898,532,210,57346.5
2025-01-13-14-05-53.885310,377,204,112726.5
2025-01-13-14-05-53.919044,531,210,56974.5
2025-01-13-14-05-53.951727,531,210,56925.0
2025-01-13-14-05-53.987775,531,210,56842.0
2025-01-13-14-05-54.025039,531,210,56791.5
2025-01-13-14-05-54.068208,531,210,56756.5
2025-01-13-14-05-54.101857,220,199,57133.5
2025-01-13-14-05-54.151654,220,198,56928.0
2025-01-13-14-05-54.172045,220,198,57093.5
2025-01-13-14-05-54.202824,221,198,57328.5
2025-01-13-14-05-54.235872,221,198,57454.5
2025-01-13-14-05-54.269349,221,199,57504.0
2025-01-13-14-05-54.302160,221,198,57566.0
2025-01-13-14-05-54.334831,221,198,57580.5
2025-01-13-14-05-54.370659,375,204,113832.5
2025-01-13-14-05-54.401791,221,198,57597.0
2025-01-13-14-05-54.435817,221,198,57470.0
2025-01-13-14-05-54.476888,221,198,57528.5
2025-01-13-14-05-54.519045,221,198,57281.0
2025-01-13-14-05-54.541444,374,205,114271.0
2025-01-13-14-05-54.583782,221,199,57631.5
2025-01-13-14-05-54.609648,221,199,57691.5
2025-01-13-14-05-54.639648,220,199,57469.5
2025-01-13-14-05-54.683644,220,199,57429.0
2025-01-13-14-05-54.716916,220,199,57158.5
2025-01-13-14-05-54.750196,375,205,113684.5
2025-01-13-14-05-54.782767,220,199,56992.5
2025-01-13-14-05-54.818401,375,205,113243.5
2025-01-13-14-05-54.851264,218,199,56363.5
2025-01-13-14-05-54.883567,219,199,56675.5
2025-01-13-14-05-54.916816,375,204,112259.0
2025-01-13-14-05-54.956248,375,204,111976.0
2025-01-13-14-05-54.996780,532,210,56373.5
2025-01-13-14-05-55.032478,376,204,112021.0
2025-01-13-14-05-55.067520,376,204,112050.0
2025-01-13-14-05-55.102637,531,210,56646.0
2025-01-13-14-05-55.135828,376,204,112395.5
2025-01-13-14-05-55.167530,376,204,112051.5
2025-01-13-14-05-55.201037,531,210,56965.5
2025-01-13-14-05-55.233817,377,204,112180.0
2025-01-13-14-05-55.270024,377,204,112093.5
2025-01-13-14-05-55.302506,377,204,112187.5
2025-01-13-14-05-55.333523,377,204,112738.5
2025-01-13-14-05-55.376485,377,204,112452.5
2025-01-13-14-05-55.412826,377,204,112580.0
2025-01-13-14-05-55.447423,377,204,112459.5
2025-01-13-14-05-55.483352,377,204,112525.0
2025-01-13-14-05-55.517751,531,210,57359.5
2025-01-13-14-05-55.551729,531,210,57248.0
2025-01-13-14-05-55.584395,377,204,112542.0
2025-01-13-14-05-55.617372,531,210,57347.5
2025-01-13-14-05-55.650810,531,210,57357.5
2025-01-13-14-05-55.684035,531,210,57349.5
2025-01-13-14-05-55.717339,531,210,57366.0
2025-01-13-14-05-55.751644,531,210,57282.5
2025-01-13-14-05-55.800671,531,210,57373.5
2025-01-13-14-05-55.827161,377,204,113289.0
2025-01-13-14-05-55.867250,531,210,57455.0
2025-01-13-14-05-55.883663,530,210,57416.0
2025-01-13-14-05-55.931347,531,210,57462.5
2025-01-13-14-05-55.965878,531,210,57527.5
2025-01-13-14-05-56.000547,531,210,57527.5
2025-01-13-14-05-56.021831,531,210,57536.5
2025-01-13-14-05-56.066843,531,210,57543.5
2025-01-13-14-05-56.101608,377,204,113849.5
2025-01-13-14-05-56.131007,531,210,57513.0
2025-01-13-14-05-56.171503,377,204,113587.0
2025-01-13-14-05-56.204442,376,204,114067.0
2025-01-13-14-05-56.239555,531,209,56925.5
2025-01-13-14-05-56.272986,376,204,113052.0
2025-01-13-14-05-56.315701,376,204,112885.0
2025-01-13-14-05-56.383659,376,204,112764.5
2025-01-13-14-05-56.425456,375,204,113119.5
2025-01-13-14-05-56.446074,375,204,113176.5
2025-01-13-14-05-56.484253,375,204,112705.5
2025-01-13-14-05-56.515397,376,204,112383.5
2025-01-13-14-05-56.548688,375,204,111965.0
2025-01-13-14-05-56.573278,376,203,111352.5
2025-01-13-14-05-56.617090,376,203,111097.5
2025-01-13-14-05-56.650253,376,203,111097.5
2025-01-13-14-05-56.684868,376,203,110994.5
2025-01-13-14-05-56.716884,376,203,110900.0
2025-01-13-14-05-56.750700,375,203,110748.5
2025-01-13-14-05-56.783615,375,203,110716.0
2025-01-13-14-05-56.817189,217,197,55376.0
2025-01-13-14-05-56.850458,375,203,110926.0
2025-01-13-14-05-56.883838,218,197,55497.0
2025-01-13-14-05-56.917348,218,197,55790.0
2025-01-13-14-05-56.952171,375,203,111091.0
2025-01-13-14-05-56.994966,375,204,111236.0
2025-01-13-14-05-57.036827,375,204,111236.0
2025-01-13-14-05-57.070662,375,204,111231.0
2025-01-13-14-05-57.122739,375,203,111053.0
2025-01-13-14-05-57.133578,375,204,111283.5
2025-01-13-14-05-57.166828,375,204,112036.0
2025-01-13-14-05-57.210071,375,204,112094.5
2025-01-13-14-05-57.245718,375,204,112222.5
2025-01-13-14-05-57.279854,375,204,111554.5
2025-01-13-14-05-57.313085,375,204,111558.5
2025-01-13-14-05-57.336622,375,204,111862.0
2025-01-13-14-05-57.384276,375,204,111833.0
2025-01-13-14-05-57.417329,375,204,111833.0
